,City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
423,"Vuktyl, RU",63.86,57.31,48.34,95.0,100.0,8.25
424,"Dom Pedrito, BR",-30.98,-54.67,79.03,62.0,100.0,4.94
425,"Golden, CA",51.3,-116.97,48.2,76.0,90.0,8.05
426,"Sambava, MG",-14.27,50.17,70.79,81.0,40.0,13.0
427,"Bukama, CD",-9.2,25.85,82.44,49.0,3.0,6.38
428,"Panguipulli, CL",-39.63,-72.33,50.0,81.0,90.0,5.82
429,"Narok, KE",-1.08,35.86,63.77,73.0,82.0,3.29
430,"Mahebourg, MU",-20.41,57.7,71.6,78.0,20.0,10.29
431,"Sampit, ID",-2.53,112.95,74.48,95.0,81.0,2.68
432,"Varna, BG",43.22,27.92,71.6,88.0,40.0,12.75
433,"Borazjan, IR",29.27,51.22,91.4,46.0,0.0,4.7
434,"Bathsheba, BB",13.22,-59.52,91.4,63.0,40.0,12.75
435,"Woodward, US",36.43,-99.39,87.01,30.0,1.0,12.75
437,"Yatou, CN",37.15,122.38,62.02,77.0,62.0,5.79
438,"Padang, ID",-0.95,100.35,77.56,79.0,74.0,3.98
439,"Reconquista, AR",-29.15,-59.65,76.21,60.0,99.0,8.39
440,"Kimbe, PG",-5.55,150.14,75.65,87.0,98.0,3.56
441,"Aviles, ES",43.55,-5.92,62.01,72.0,75.0,12.75
442,"Turki, RU",51.99,43.27,58.12,49.0,9.0,10.0
443,"Baruun-Urt, MN",46.68,113.28,62.31,31.0,80.0,16.46
444,"Yumen, CN",40.28,97.2,53.26,44.0,0.0,10.42
445,"Sabha, LY",27.04,14.43,90.57,18.0,0.0,6.11
446,"Ukiah, US",39.15,-123.21,63.0,63.0,1.0,4.7
447,"Pingliang, CN",35.54,106.69,55.02,85.0,92.0,3.56
448,"Djambala, CG",-2.54,14.75,72.41,83.0,100.0,3.31
449,"Harper, LR",4.38,-7.72,77.45,86.0,68.0,10.65
450,"Grindavik, IS",63.84,-22.43,44.6,70.0,75.0,19.46
451,"Youkounkoun, GN",12.53,-13.13,89.69,69.0,85.0,2.57
452,"Atambua, ID",-9.11,124.89,71.98,84.0,76.0,2.51
453,"Ikom, NG",5.97,8.71,77.36,91.0,65.0,0.85
455,"Weinan, CN",34.5,109.51,68.0,93.0,94.0,6.71
456,"Arandas, MX",20.7,-102.35,71.64,51.0,0.0,5.75
458,"Antofagasta, CL",-23.65,-70.4,60.8,72.0,75.0,19.46
459,"Henties Bay, NA",-22.12,14.28,57.99,85.0,12.0,5.01
460,"Sandwick, GB",60.0,-1.25,50.0,66.0,40.0,10.29
461,"Imbituba, BR",-28.24,-48.67,80.6,39.0,30.0,8.05
462,"Moussoro, TD",13.64,16.49,98.76,19.0,90.0,6.44
463,"Biltine, TD",14.53,20.92,92.77,25.0,91.0,7.36
464,"Carutapera, BR",-1.2,-46.02,86.83,57.0,17.0,10.76
465,"College, US",64.86,-147.8,37.4,93.0,90.0,1.14
466,"Rakaia, NZ",-43.75,172.02,46.0,46.0,77.0,5.01
467,"Nangomba, TZ",-10.9,38.5,77.25,55.0,19.0,9.75
468,"Santa Catalina, CO",10.6,-75.29,84.2,74.0,75.0,8.05
470,"San Quintin, MX",30.48,-115.95,73.4,65.0,4.0,5.03
471,"Road Town, VG",18.42,-64.62,86.0,79.0,40.0,4.7
472,"Olafsvik, IS",64.89,-23.71,44.02,71.0,99.0,21.36
473,"Marica, BR",-22.92,-42.82,84.2,73.0,1.0,14.99
474,"Middelkerke, BE",51.16,2.84,53.6,76.0,75.0,43.62
477,"Huarmey, PE",-10.07,-78.15,68.76,63.0,78.0,12.21
478,"Evensk, RU",61.95,159.23,37.99,73.0,57.0,7.14
480,"Mishan, CN",45.55,131.88,51.3,92.0,72.0,3.91
481,"Jennings, US",38.72,-90.26,75.0,64.0,20.0,4.7
482,"Udachnyy, RU",66.42,112.4,37.4,64.0,0.0,4.47
483,"Pangody, RU",65.85,74.49,42.08,78.0,94.0,7.58
484,"Anadyr, RU",64.75,177.48,26.6,86.0,40.0,8.95
485,"Brae, GB",60.4,-1.35,50.0,66.0,40.0,10.29
486,"Ugoofaaru, MV",5.67,73.0,82.06,79.0,61.0,8.57
487,"Kaeo, NZ",-35.1,173.78,55.0,95.0,28.0,3.0
488,"Yerbogachen, RU",61.28,108.01,38.7,82.0,0.0,7.07
489,"Ratnagiri, IN",16.98,73.3,80.13,86.0,100.0,7.67
490,"Trinidad, BO",-14.83,-64.9,93.2,52.0,9.0,13.87
491,"Hirara, JP",24.8,125.28,79.72,81.0,85.0,19.13
492,"Lamin, GM",13.35,-16.43,91.4,66.0,40.0,6.93
494,"Vostok, RU",46.49,135.88,41.27,95.0,60.0,3.98
495,"Moindou, NC",-21.69,165.68,69.8,88.0,75.0,4.05
497,"Shelburne, CA",44.08,-80.2,75.99,60.0,1.0,3.36
498,"Texarkana, US",33.43,-94.05,71.01,73.0,90.0,3.36
499,"Hailar, CN",49.2,119.7,52.2,75.0,93.0,15.57
500,"Erfurt, DE",50.98,11.03,52.0,66.0,100.0,10.29
502,"Shaunavon, CA",49.65,-108.42,58.91,42.0,0.0,15.99
503,"Zhangjiakou, CN",40.81,114.88,58.12,65.0,0.0,3.91
504,"Port-Cartier, CA",50.03,-66.87,50.0,43.0,20.0,12.75
505,"Eureka, US",40.8,-124.16,64.99,76.0,58.0,1.99
506,"San Antonio, CL",-33.59,-71.62,51.8,93.0,90.0,6.93
507,"Torva, EE",58.0,25.93,64.0,72.0,11.0,6.93
508,"Cockburn Town, TC",21.46,-71.14,86.0,70.0,40.0,11.41
509,"Bac Lieu, VN",9.29,105.72,79.72,87.0,90.0,9.73
510,"Shunyi, CN",40.12,116.65,64.99,93.0,0.0,2.24
511,"Novobiryusinskiy, RU",56.96,97.71,44.08,86.0,100.0,7.85
512,"Rubizhne, UA",49.01,38.38,68.76,36.0,17.0,10.33
513,"Bandar-E Lengeh, IR",26.56,54.88,89.6,66.0,12.0,9.17
514,"Bilibino, RU",68.05,166.44,26.33,96.0,99.0,1.52
515,"Sundsvall, SE",62.39,17.31,53.6,54.0,97.0,6.93
516,"Kieta, PG",-6.22,155.63,78.75,77.0,100.0,1.68
517,"Ozinki, RU",51.18,49.68,58.59,39.0,100.0,10.65
518,"Saint-Augustin, CA",51.23,-58.65,50.4,47.0,31.0,21.5
519,"Upata, VE",8.01,-62.4,91.0,62.0,47.0,4.0
520,"Rocha, UY",-34.48,-54.33,69.37,57.0,100.0,8.84
521,"Coquimbo, CL",-29.95,-71.34,55.4,87.0,90.0,5.82
522,"San Nicolas, PH",18.17,120.6,79.65,78.0,99.0,5.17
523,"Matay, EG",28.42,30.78,88.39,27.0,0.0,11.88
524,"Mishelevka, RU",52.86,103.17,41.56,87.0,61.0,3.62
525,"Baculin, PH",7.45,126.58,79.5,79.0,99.0,7.7
526,"Ust-Kan, RU",50.93,84.76,28.63,94.0,65.0,4.45
528,"Chapais, CA",49.78,-74.85,46.4,65.0,75.0,4.7
529,"Coolum Beach, AU",-26.53,153.1,64.99,95.0,22.0,1.01
530,"North Bend, US",43.41,-124.22,61.0,82.0,90.0,11.41
531,"Shimizu, JP",43.01,142.88,48.69,90.0,100.0,16.17
532,"Tocopilla, CL",-22.09,-70.2,69.04,45.0,12.0,13.11
533,"Santa Isabel Do Rio Negro, BR",-0.41,-65.02,90.54,58.0,51.0,2.55
534,"Ucluelet, CA",48.93,-125.55,57.0,93.0,40.0,10.29
535,"Cordoba, AR",-31.41,-64.18,87.01,35.0,71.0,12.75
536,"Kamenka, RU",51.32,42.77,59.79,47.0,0.0,10.29
537,"Ponta Do Sol, PT",32.67,-17.1,78.01,73.0,16.0,1.99
538,"Bengkulu, ID",-3.8,102.27,75.97,88.0,55.0,4.45
539,"Opuwo, NA",-18.06,13.84,82.58,15.0,8.0,13.67
542,"Culpeper, US",38.5,-77.97,64.0,93.0,90.0,3.36
543,"Bonavista, CA",48.65,-53.11,57.11,57.0,0.0,13.2
544,"Laredo, ES",43.41,-3.42,63.0,67.0,75.0,20.8
545,"Prince Rupert, CA",54.32,-130.32,48.2,93.0,90.0,14.99
546,"Westport, NZ",-41.75,171.6,49.73,84.0,17.0,4.88
547,"Torata, PE",-17.08,-70.84,71.94,21.0,0.0,11.54
548,"Yenangyaung, MM",20.47,94.88,78.06,82.0,82.0,10.87
549,"Ajaccio, FR",42.0,8.92,64.4,68.0,100.0,28.86
550,"Alihe, CN",50.57,123.72,44.74,89.0,100.0,1.79
551,"Norwich, GB",52.63,1.3,51.8,81.0,75.0,24.16
552,"Kastamonu, TR",41.5,33.67,61.39,66.0,100.0,1.21
553,"Parabel, RU",58.7,81.48,40.95,81.0,100.0,10.02
554,"San Matias, BO",-16.37,-58.4,107.96,15.0,8.0,7.23
555,"Iralaya, HN",15.0,-83.23,86.0,79.0,40.0,9.84
556,"Sao Paulo De Olivenca, BR",-3.38,-68.87,94.05,47.0,78.0,1.48
557,"Katherine, AU",-14.47,132.27,82.4,54.0,69.0,10.29
558,"Qingdao, CN",36.1,120.37,68.0,88.0,33.0,2.24
559,"Mbaiki, CF",3.87,17.99,71.87,86.0,86.0,2.48
560,"Mogoytuy, RU",51.28,114.92,43.7,87.0,92.0,5.08
561,"Broken Hill, AU",-31.95,141.43,42.8,75.0,0.0,11.41
562,"Kota Belud, MY",6.35,116.43,75.2,88.0,20.0,5.82
563,"Byron Bay, AU",-28.65,153.62,68.0,49.0,0.0,11.41
564,"Alyangula, AU",-13.85,136.42,73.4,94.0,0.0,7.2
565,"Banepa, NP",27.63,85.52,69.8,94.0,75.0,5.82
566,"Ciudad Bolivar, VE",8.12,-63.55,91.87,49.0,100.0,7.14
567,"Mackay, AU",-21.15,149.2,68.0,94.0,75.0,5.82
568,"Lesnoy, RU",57.62,63.08,41.83,85.0,6.0,5.3
569,"Sorland, NO",67.67,12.69,44.6,70.0,40.0,19.46
570,"Sheopur, IN",25.67,76.7,83.53,53.0,51.0,8.48
571,"Adre, TD",13.47,22.2,84.33,33.0,97.0,4.88
572,"Nishihara, JP",26.18,127.76,77.0,100.0,90.0,17.22
573,"Marsa Matruh, EG",31.35,27.25,78.8,74.0,20.0,6.93
574,"Vidim, RU",56.41,103.11,47.48,90.0,100.0,11.86
575,"San Policarpo, PH",12.18,125.51,78.78,88.0,95.0,4.92
576,"Hokitika, NZ",-42.72,170.97,50.68,83.0,78.0,6.26
578,"Geraldton, CA",49.73,-86.95,57.2,87.0,90.0,10.29
579,"Bainbridge, US",47.63,-122.52,57.0,93.0,90.0,4.7
580,"Varkkallai, IN",8.73,76.71,80.6,88.0,75.0,2.24
581,"Nayoro, JP",44.35,142.46,52.03,76.0,100.0,12.21
582,"Ustrzyki Dolne, PL",49.43,22.59,64.0,67.0,99.0,10.0
583,"Zyryanka, RU",65.75,150.85,37.29,78.0,0.0,3.6
584,"Sikasso, ML",10.92,-7.0,86.76,66.0,87.0,2.86
585,"Lushnje, AL",40.94,19.7,80.6,44.0,75.0,14.99
586,"Khawhai, IN",23.37,93.12,62.15,100.0,100.0,2.08
587,"Shediac, CA",46.22,-64.54,62.01,41.0,20.0,8.05
588,"Carupano, VE",10.67,-63.26,87.85,62.0,7.0,11.77
589,"Kuhdasht, IR",33.53,47.61,77.0,20.0,0.0,6.93
590,"Poum, NC",-20.23,164.02,75.61,85.0,5.0,12.77
591,"Umea, SE",63.83,20.26,50.0,81.0,36.0,2.24
592,"Hays, US",30.05,-98.03,79.0,72.0,57.0,4.74
593,"Hanna, CA",51.63,-111.9,62.01,33.0,15.0,11.99
594,"Makakilo City, US",21.35,-158.09,77.0,83.0,1.0,3.36
595,"Marawi, SD",18.48,31.82,100.99,9.0,38.0,9.64
596,"Khorixas, NA",-20.37,14.97,72.07,33.0,0.0,16.31
597,"Bullhead City, US",35.15,-114.57,89.01,10.0,5.0,4.7
598,"Rozsypne, UA",48.15,38.58,64.06,45.0,0.0,8.5
599,"Takoradi, GH",4.88,-1.76,78.24,83.0,19.0,10.27
600,"Vila Franca Do Campo, PT",37.72,-25.43,69.8,68.0,75.0,13.87
601,"Tongchuan, CN",35.08,109.09,63.55,74.0,99.0,4.92
602,"Xai-Xai, MZ",-25.05,33.64,80.01,26.0,0.0,8.39
603,"Lyuban, BY",52.8,28.0,63.03,63.0,14.0,10.27
604,"Yarim, YE",14.3,44.38,61.77,54.0,0.0,1.32
605,"Schneverdingen, DE",53.12,9.8,57.2,47.0,40.0,9.17
606,"Russell, NZ",-35.26,174.12,55.0,95.0,9.0,3.0
607,"Gillette, US",44.29,-105.5,64.99,23.0,1.0,5.82
608,"Lazaro Cardenas, MX",17.96,-102.2,86.59,66.0,12.0,2.37
609,"Ascension, BO",-15.7,-63.08,105.91,19.0,2.0,6.78
610,"Pierre, US",44.37,-100.35,70.0,32.0,1.0,11.41
611,"Umm Kaddadah, SD",13.6,26.69,90.86,30.0,72.0,7.38
612,"Aurillac, FR",44.92,2.45,46.99,87.0,74.0,14.99
613,"Meadow Lake, CA",54.13,-108.43,59.0,47.0,5.0,18.34
614,"Salinas, EC",-2.22,-80.97,71.6,78.0,75.0,5.82
615,"Diego De Almagro, CL",-26.37,-70.05,77.7,18.0,77.0,11.14
616,"Vallenar, CL",-28.57,-70.76,72.73,31.0,39.0,7.25
618,"Kudahuvadhoo, MV",2.67,72.89,82.94,74.0,86.0,5.61
619,"Pangnirtung, CA",66.15,-65.71,39.2,69.0,90.0,5.82
620,"Bad Ischl, AT",47.71,13.62,39.99,93.0,100.0,18.99
621,"Stary Sacz, PL",49.56,20.64,64.99,86.0,100.0,1.99
623,"Muros, ES",42.78,-9.06,64.0,60.0,50.0,5.01
624,"Moerai, PF",-22.43,-151.33,74.3,87.0,48.0,10.71
626,"Belmonte, BR",-15.86,-38.88,80.6,61.0,40.0,9.17
